Total_Duration_Minute,Total_Distance,Number_Of_Stops
50.0,43,13
50.0,43,13
50.0,43,13
50.0,43,13
50.0,43,13
50.0,43,13
50.0,43,13
50.0,43,13
49.0,43,13
195.0,154,25
200.0,153,25
195.0,154,29
210.0,153,27
220.0,153,29
195.0,154,28
213.0,153,29
27.0,20,6
27.0,19,6
27.0,20,5
29.0,19,5
28.0,19,5
144.0,102,29
138.0,102,29
148.0,102,29
145.0,102,29
142.0,102,30
132.0,102,22
144.0,102,29
140.0,102,29
147.0,102,30
138.0,102,25
135.0,102,21
140.0,102,29
143.0,102,29
140.0,102,29
141.0,102,28
138.0,102,28
140.0,102,30
130.0,102,20
145.0,102,30
137.0,102,29
140.0,102,23
138.0,102,26
133.0,102,16
146.0,102,28
137.0,102,22
139.0,102,26
142.0,102,29
145.0,102,29
142.0,102,28
143.0,102,30
132.0,102,19
150.0,102,16
127.0,102,9
135.0,102,9
130.0,102,10
118.0,102,10
162.0,128,23
180.0,127,24
160.0,128,21
165.0,127,20
150.0,128,20
162.0,127,21
162.0,119,36
155.0,119,36
168.0,119,36
152.0,119,36
161.0,119,36
160.0,119,30
175.0,119,36
158.0,119,36
161.0,119,36
154.0,119,35
163.0,119,36
175.0,119,36
164.0,119,36
157.0,119,35
157.0,119,35
161.0,119,36
163.0,119,36
157.0,119,31
161.0,119,36
43.0,28,9
45.0,28,9
47.0,28,9
43.0,28,9
43.0,28,9
43.0,28,9
47.0,28,9
44.0,28,9
43.0,28,9
47.0,28,9
43.0,28,9
44.0,28,9
44.0,28,9
45.0,28,9
43.0,28,9
45.0,28,9
42.0,28,9
47.0,28,9
47.0,28,9
45.0,28,9
45.0,28,9
44.0,28,9
45.0,28,9
55.0,28,9
42.0,28,9
43.0,28,9
44.0,28,9
42.0,28,9
40.0,28,9
45.0,28,9
45.0,28,9
45.0,28,9
43.0,28,9
45.0,28,9
45.0,28,9
43.0,28,9
43.0,28,9
48.0,28,9
45.0,28,9
48.0,28,9
43.0,28,9
60.0,39,13
67.0,39,13
70.0,39,13
60.0,39,13
132.0,66,26
17.0,9,3
25.0,15,7
25.0,15,7
28.0,15,9
80.0,50,18
110.0,67,27
28.0,18,7
90.0,52,19
82.0,52,19
85.0,52,19
78.0,52,19
80.0,52,19
84.0,52,19
85.0,52,19
76.0,52,19
82.0,52,19
80.0,52,19
83.0,52,19
79.0,52,19
85.0,52,19
33.0,22,7
13.0,7,3
70.0,54,14
65.0,54,12
65.0,54,12
74.0,54,12
65.0,54,12
70.0,54,12
68.0,54,13
48.0,35,10
45.0,24,11
45.0,25,11
21.0,12,4
22.0,12,4
40.0,20,9
43.0,20,9
47.0,24,11
49.0,25,11
46.0,24,11
47.0,25,11
50.0,24,11
47.0,25,11
48.0,24,11
45.0,25,11
46.0,24,11
45.0,25,11
44.0,24,11
46.0,24,11
44.0,24,11
45.0,24,11
130.0,77,29
147.0,77,29
126.0,77,29
127.0,77,29
135.0,77,29
129.0,77,25
130.0,77,29
130.0,77,26
132.0,77,29
133.0,77,29
123.0,77,29
128.0,77,29
125.0,77,29
125.0,77,24
141.0,77,29
123.0,77,29
136.0,77,25
125.0,77,24
125.0,77,25
138.0,77,29
125.0,77,25
135.0,77,29
131.0,77,29
125.0,77,25
137.0,77,29
129.0,77,24
62.0,32,13
58.0,32,13
60.0,32,13
60.0,32,13
60.0,32,13
60.0,32,13
60.0,32,13
60.0,32,13
61.0,32,13
62.0,32,13
59.0,32,13
55.0,32,11
62.0,32,13
57.0,32,13
60.0,32,13
60.0,32,13
58.0,32,13
78.0,47,17
80.0,47,17
80.0,47,17
80.0,47,17
77.0,47,17
76.0,47,17
78.0,47,17
80.0,47,17
78.0,47,17
77.0,47,17
75.0,47,17
82.0,47,17
97.0,59,20
93.0,60,20
94.0,59,20
94.0,60,20
95.0,59,20
100.0,60,20
43.0,32,8
46.0,32,8
46.0,32,9
45.0,32,9
48.0,32,8
45.0,32,8
41.0,32,8
46.0,32,9
41.0,32,8
45.0,32,8
44.0,32,9
40.0,32,8
45.0,32,8
45.0,32,8
45.0,32,8
42.0,32,9
45.0,32,8
43.0,32,8
46.0,32,9
42.0,32,9
45.0,32,8
42.0,32,8
42.0,32,9
41.0,32,8
46.0,32,9
43.0,32,9
45.0,32,8
43.0,32,8
46.0,32,9
69.0,52,12
72.0,52,12
116.0,79,24
120.0,79,24
107.0,79,17
127.0,79,23
113.0,79,23
112.0,79,21
115.0,79,24
110.0,79,22
109.0,79,21
116.0,79,24
120.0,79,23
110.0,79,22
115.0,79,24
118.0,79,24
115.0,79,24
117.0,79,24
115.0,79,23
118.0,79,24
117.0,79,24
120.0,79,24
113.0,79,24
122.0,79,24
113.0,79,24
148.0,79,23
115.0,79,23
118.0,79,24
115.0,79,24
113.0,79,23
115.0,79,24
113.0,79,24
113.0,79,24
118.0,79,24
115.0,79,24
115.0,79,24
120.0,79,24
120.0,79,23
114.0,79,24
117.0,79,24
115.0,79,23
116.0,79,23
120.0,79,24
117.0,79,24
115.0,79,24
120.0,79,23
113.0,79,24
115.0,79,22
115.0,79,23
115.0,79,17
113.0,79,23
110.0,79,23
112.0,79,22
117.0,79,24
115.0,79,23
120.0,79,24
90.0,65,15
95.0,65,15
120.0,67,26
124.0,67,26
153.0,82,32
207.0,120,41
50.0,30,11
50.0,30,11
57.0,30,11
54.0,30,11
55.0,30,11
53.0,30,11
57.0,30,11
53.0,30,11
55.0,30,11
55.0,30,11
53.0,30,11
48.0,30,11
55.0,30,11
51.0,30,11
52.0,30,11
53.0,30,11
55.0,30,11
55.0,30,11
57.0,30,11
54.0,30,11
64.0,30,11
55.0,30,11
54.0,30,11
53.0,30,11
55.0,30,11
53.0,30,11
50.0,30,11
52.0,30,11
52.0,30,11
55.0,30,11
54.0,30,11
52.0,30,11
53.0,30,11
51.0,30,11
49.0,30,11
54.0,30,11
50.0,30,11
52.0,30,11
51.0,30,11
56.0,30,11
55.0,30,11
55.0,30,11
54.0,30,11
55.0,30,11
52.0,30,11
55.0,30,11
54.0,30,11
52.0,30,11
55.0,30,11
55.0,30,11
48.0,30,11
53.0,30,11
52.0,30,11
53.0,30,11
48.0,30,11
48.0,30,11
15.0,8,4
15.0,8,4
15.0,8,4
52.0,36,13
55.0,36,13
55.0,36,13
46.0,29,10
42.0,28,10
43.0,29,9
42.0,29,9
37.0,29,7
41.0,29,9
40.0,29,9
42.0,28,10
32.0,16,8
28.0,16,8
34.0,16,8
32.0,16,8
33.0,16,8
32.0,16,8
32.0,16,8
31.0,16,8
33.0,16,8
32.0,16,8
32.0,16,8
32.0,16,8
32.0,16,8
32.0,16,8
33.0,16,8
29.0,16,8
35.0,16,8
31.0,16,8
33.0,16,8
33.0,16,8
33.0,16,8
29.0,16,8
30.0,16,8
30.0,16,9
75.0,45,17
75.0,45,17
80.0,45,17
72.0,45,16
75.0,45,17
74.0,45,17
78.0,45,17
74.0,45,16
77.0,45,17
76.0,45,17
80.0,45,17
75.0,45,17
74.0,45,17
76.0,45,17
75.0,45,17
75.0,45,17
74.0,45,17
75.0,45,17
75.0,45,17
75.0,45,17
75.0,45,17
73.0,45,17
78.0,45,17
76.0,45,17
90.0,45,17
77.0,45,17
77.0,45,17
75.0,45,17
72.0,45,16
75.0,45,17
77.0,45,17
75.0,45,17
76.0,45,17
74.0,45,17
77.0,45,17
74.0,45,16
77.0,45,17
75.0,45,17
77.0,45,17
74.0,45,17
74.0,45,17
81.0,45,17
75.0,45,16
74.0,45,17
75.0,45,17
72.0,45,17
75.0,45,15
76.0,45,17
45.0,24,11
42.0,24,11
47.0,24,11
42.0,24,11
47.0,24,11
42.0,24,11
47.0,24,11
45.0,24,11
47.0,24,11
42.0,24,11
46.0,24,11
44.0,24,11
45.0,24,11
45.0,24,11
46.0,24,11
45.0,24,11
48.0,24,11
42.0,24,10
47.0,24,11
44.0,24,11
47.0,24,11
45.0,24,11
47.0,24,11
44.0,24,11
47.0,24,11
45.0,24,11
47.0,24,11
45.0,24,11
47.0,24,11
44.0,24,11
47.0,24,11
44.0,24,11
46.0,24,11
45.0,24,11
48.0,24,11
44.0,24,11
45.0,24,11
45.0,24,11
47.0,24,11
45.0,24,11
110.0,61,19
96.0,61,19
105.0,61,21
100.0,61,20
103.0,61,23
100.0,61,21
96.0,61,21
98.0,61,21
99.0,61,22
102.0,61,23
100.0,61,23
102.0,61,23
102.0,61,23
102.0,61,23
102.0,61,22
100.0,61,23
102.0,61,23
100.0,61,21
97.0,61,23
100.0,61,23
105.0,61,23
100.0,61,23
110.0,61,22
102.0,61,23
100.0,61,21
104.0,61,23
99.0,61,23
102.0,61,23
98.0,61,21
102.0,61,23
101.0,61,23
103.0,61,23
105.0,61,23
99.0,61,23
99.0,61,23
100.0,61,23
99.0,61,21
100.0,61,21
99.0,61,23
100.0,61,21
103.0,61,21
100.0,61,21
100.0,61,21
98.0,61,21
105.0,61,21
102.0,61,21
146.0,94,29
162.0,108,23
162.0,108,30
165.0,108,30
165.0,108,21
105.0,59,19
86.0,59,15
95.0,59,24
95.0,59,24
94.0,59,22
95.0,59,22
98.0,59,24
100.0,59,24
104.0,59,24
100.0,59,24
98.0,59,24
95.0,59,17
103.0,59,24
100.0,59,24
100.0,59,24
98.0,59,24
97.0,59,24
98.0,59,24
91.0,59,17
99.0,59,24
97.0,59,24
98.0,59,22
98.0,59,22
100.0,59,24
103.0,59,24
99.0,59,24
98.0,59,24
100.0,59,24
120.0,59,24
100.0,59,24
100.0,59,24
97.0,59,24
98.0,59,24
98.0,59,24
100.0,59,24
98.0,59,24
98.0,59,24
95.0,59,24
98.0,59,22
98.0,59,22
97.0,59,23
100.0,59,24
100.0,59,24
97.0,59,24
99.0,59,22
95.0,59,23
95.0,59,21
90.0,59,20
98.0,59,24
100.0,59,24
65.0,43,17
65.0,43,17
52.0,34,14
53.0,34,14
65.0,39,16
70.0,39,16
65.0,46,8
57.0,46,8
60.0,46,8
65.0,46,8
65.0,46,8
62.0,46,8
56.0,46,8
59.0,46,8
58.0,46,8
58.0,46,8
62.0,46,8
58.0,46,8
60.0,46,8
60.0,46,8
60.0,46,8
62.0,46,8
58.0,46,8
62.0,46,8
62.0,46,8
59.0,46,8
62.0,46,8
61.0,46,8
61.0,46,8
60.0,46,8
46.0,33,7
35.0,26,9
35.0,26,9
35.0,26,9
35.0,26,9
35.0,26,9
35.0,26,9
70.0,46,15
70.0,46,15
35.0,26,9
35.0,26,9
35.0,26,9
35.0,26,9
40.0,26,9
41.0,26,9
59.0,40,14
68.0,40,14
58.0,40,14
65.0,40,14
62.0,40,14
60.0,40,14
59.0,40,14
62.0,40,14
85.0,58,18
85.0,58,18
116.0,72,22
99.0,72,24
105.0,72,24
108.0,72,24
105.0,72,24
100.0,72,24
107.0,72,24
96.0,72,22
125.0,94,29
150.0,94,25
125.0,94,27
135.0,94,29
128.0,94,30
128.0,94,28
128.0,94,28
125.0,94,27
135.0,94,29
125.0,94,29
140.0,94,29
129.0,94,29
125.0,94,29
123.0,94,28
136.0,94,26
122.0,94,29
130.0,94,29
125.0,94,29
133.0,94,29
90.0,94,2
125.0,94,30
122.0,94,29
125.0,94,29
125.0,94,28
88.0,94,8
125.0,94,29
127.0,94,29
150.0,94,29
130.0,94,29
135.0,94,29
130.0,94,29
120.0,94,28
134.0,94,28
125.0,94,30
133.0,94,28
125.0,94,30
134.0,94,29
125.0,94,29
132.0,94,29
122.0,94,29
141.0,94,26
140.0,94,29
130.0,94,30
125.0,94,29
130.0,94,29
125.0,94,29
122.0,94,29
123.0,94,30
31.0,19,9
35.0,19,9
33.0,19,9
36.0,19,9
32.0,19,9
38.0,19,9
32.0,19,9
35.0,19,9
34.0,19,9
36.0,19,9
38.0,22,10
40.0,22,10
38.0,22,10
39.0,22,10
40.0,22,10
40.0,22,10
38.0,22,10
41.0,22,10
37.0,22,10
38.0,22,10
37.0,22,10
42.0,22,10
35.0,22,10
50.0,22,10
38.0,22,10
43.0,22,10
44.0,22,10
37.0,22,10
42.0,22,10
42.0,22,10
42.0,22,10
38.0,22,10
43.0,22,10
38.0,22,10
40.0,22,10
25.0,6,2
25.0,6,3
25.0,6,2
27.0,6,3
22.0,6,2
25.0,6,3
25.0,6,2
25.0,6,3
26.0,6,2
25.0,6,3
30.0,6,2
25.0,6,3
60.0,39,17
63.0,39,17
58.0,39,17
61.0,39,17
59.0,39,17
60.0,39,17
61.0,39,17
65.0,39,17
60.0,39,17
62.0,39,17
65.0,39,17
65.0,39,17
60.0,39,17
65.0,39,17
60.0,39,17
64.0,39,17
60.0,39,17
63.0,39,17
60.0,39,17
60.0,39,17
60.0,39,17
62.0,39,17
60.0,39,17
63.0,39,17
58.0,39,17
61.0,39,17
59.0,39,17
62.0,39,17
60.0,39,17
62.0,39,17
63.0,39,17
65.0,39,17
60.0,39,17
63.0,39,17
60.0,39,17
65.0,39,17
60.0,39,17
77.0,39,17
58.0,39,17
65.0,39,17
59.0,39,17
60.0,39,17
57.0,39,17
64.0,39,17
60.0,39,17
67.0,39,17
65.0,39,17
60.0,39,17
60.0,39,17
63.0,39,17
64.0,39,17
63.0,39,17
60.0,39,17
62.0,39,17
61.0,39,17
62.0,39,17
59.0,39,17
60.0,39,17
60.0,39,17
60.0,39,17
60.0,39,17
65.0,39,17
58.0,39,17
62.0,39,17
60.0,39,17
65.0,39,17
60.0,39,17
66.0,39,17
59.0,39,17
63.0,39,17
60.0,39,17
62.0,39,17
60.0,39,17
60.0,39,17
60.0,39,17
65.0,39,17
60.0,39,17
62.0,39,17
58.0,39,17
63.0,39,17
65.0,39,17
60.0,39,17
60.0,39,17
58.0,33,13
57.0,33,13
62.0,33,13
65.0,33,13
70.0,44,17
78.0,44,17
90.0,57,21
90.0,57,21
93.0,57,21
90.0,57,21
90.0,57,21
90.0,57,21
87.0,57,21
95.0,57,21
88.0,57,21
95.0,57,20
90.0,57,21
89.0,57,18
89.0,57,21
90.0,57,21
90.0,57,21
93.0,57,21
85.0,57,21
92.0,57,21
90.0,57,21
95.0,57,21
95.0,57,21
92.0,57,21
90.0,57,21
95.0,57,21
93.0,57,21
92.0,57,21
90.0,57,21
90.0,57,21
93.0,57,21
85.0,57,21
90.0,57,21
95.0,57,21
90.0,57,21
95.0,57,21
85.0,57,21
88.0,57,21
87.0,57,21
92.0,57,21
89.0,57,21
100.0,57,21
90.0,57,21
90.0,57,21
90.0,57,21
150.0,81,23
135.0,81,23
125.0,81,23
140.0,81,23
145.0,81,23
132.0,81,23
125.0,81,23
127.0,81,23
140.0,81,23
137.0,81,22
139.0,81,23
125.0,81,23
129.0,81,23
128.0,81,23
138.0,81,23
137.0,81,23
40.0,24,3
40.0,24,3
36.0,24,5
40.0,24,5
34.0,24,3
35.0,24,3
40.0,24,5
38.0,24,3
40.0,24,5
50.0,34,12
50.0,34,12
48.0,34,12
48.0,34,12
47.0,30,14
45.0,30,14
20.0,8,4
20.0,8,4
19.0,8,4
18.0,8,4
20.0,8,4
19.0,8,4
19.0,8,4
21.0,8,4
19.0,8,4
20.0,8,4
20.0,8,4
20.0,8,4
20.0,8,4
20.0,8,4
20.0,8,4
20.0,8,4
20.0,8,4
22.0,8,4
20.0,8,4
19.0,8,4
20.0,8,4
20.0,8,4
20.0,8,4
19.0,8,4
19.0,8,4
20.0,8,4
20.0,8,4
22.0,8,4
18.0,8,4
20.0,8,4
20.0,8,4
22.0,8,4
18.0,8,4
22.0,8,4
20.0,8,4
20.0,8,4
22.0,8,4
19.0,8,4
88.0,60,20
80.0,60,15
98.0,60,20
105.0,81,18
125.0,81,18
111.0,81,28
115.0,81,28
112.0,81,28
117.0,81,28
107.0,81,28
115.0,81,28
25.0,21,6
45.0,42,12
50.0,42,12
150.0,104,27
130.0,104,25
130.0,104,24
135.0,104,28
130.0,104,26
150.0,104,27
135.0,104,27
135.0,104,28
125.0,104,28
150.0,104,28
135.0,104,28
135.0,104,28
130.0,104,25
135.0,104,28
130.0,104,24
127.0,104,25
77.0,67,18
75.0,67,18
77.0,67,18
80.0,67,18
80.0,67,18
75.0,67,18
140.0,106,34
142.0,106,32
140.0,106,34
150.0,106,34
130.0,106,27
143.0,106,34
147.0,106,34
146.0,106,34
147.0,106,34
137.0,106,34
139.0,106,34
115.0,106,3
145.0,106,34
137.0,106,28
145.0,106,34
132.0,106,22
145.0,106,34
136.0,106,27
140.0,106,34
139.0,106,27
138.0,106,30
155.0,106,34
145.0,106,33
148.0,106,34
145.0,106,21
141.0,106,34
140.0,106,27
145.0,106,34
135.0,106,29
140.0,106,34
126.0,106,22
152.0,106,34
115.0,106,3
143.0,106,22
140.0,106,30
145.0,106,33
135.0,106,27
140.0,106,34
120.0,106,11
138.0,106,34
138.0,106,34
140.0,106,34
147.0,106,30
152.0,106,34
143.0,106,34
140.0,106,34
192.0,143,44
195.0,144,41
190.0,143,44
183.0,144,29
195.0,144,30
185.0,144,31
195.0,143,44
200.0,144,44
190.0,144,33
190.0,144,30
193.0,143,39
225.0,144,44
185.0,144,31
203.0,144,30
185.0,144,29
198.0,144,44
195.0,143,41
202.0,144,40
15.0,5,3
13.0,5,3
15.0,5,3
15.0,5,3
20.0,5,3
220.0,140,38
195.0,139,26
190.0,136,21
95.0,68,14
100.0,68,14
192.0,137,20
218.0,140,34
210.0,139,26
40.0,24,9
45.0,24,9
61.0,32,13
61.0,32,13
68.0,32,14
63.0,32,13
42.0,24,9
76.0,32,13
72.0,45,16
77.0,45,16
55.0,37,12
75.0,50,17
90.0,58,20
97.0,58,21
90.0,58,20
100.0,56,18
90.0,58,20
92.0,58,20
90.0,58,20
87.0,55,18
95.0,58,20
98.0,58,20
80.0,50,16
93.0,58,20
105.0,58,20
108.0,71,25
107.0,70,24
108.0,71,25
108.0,70,24
107.0,71,25
109.0,70,24
90.0,63,21
108.0,70,24
120.0,71,25
107.0,70,24
119.0,71,24
107.0,70,24
110.0,71,25
115.0,70,24
105.0,70,24
120.0,71,25
113.0,71,24
107.0,71,24
110.0,71,24
105.0,71,23
110.0,71,24
110.0,71,23
108.0,71,24
110.0,71,24
110.0,71,24
120.0,71,24
117.0,70,24
110.0,71,24
112.0,70,24
110.0,71,24
113.0,70,24
137.0,90,29
145.0,91,29
95.0,54,20
93.0,54,19
130.0,115,17
155.0,115,33
155.0,115,34
162.0,115,33
153.0,115,33
155.0,115,32
170.0,115,34
155.0,115,33
150.0,107,29
155.0,115,33
173.0,115,32
165.0,115,33
172.0,115,33
182.0,115,33
182.0,115,31
165.0,115,27
175.0,128,30
187.0,128,36
185.0,128,36
188.0,128,34
195.0,128,37
170.0,128,14
200.0,128,37
180.0,128,26
205.0,128,37
195.0,128,36
190.0,128,37
202.0,128,36
188.0,128,36
207.0,128,36
195.0,128,34
213.0,128,33
195.0,128,33
198.0,128,36
213.0,128,35
202.0,128,36
165.0,128,19
198.0,128,33
180.0,128,24
205.0,128,29
165.0,129,13
212.0,128,36
175.0,128,24
197.0,128,36
177.0,128,26
193.0,128,36
195.0,128,34
30.0,12,4
75.0,44,17
100.0,51,21
95.0,49,21
100.0,51,21
96.0,51,21
93.0,49,21
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,6
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
40.0,23,15
55.0,29,18
26.0,17,3
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
35.0,17,2
55.0,29,18
44.0,23,2
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,6
55.0,29,18
55.0,29,6
55.0,29,18
55.0,29,6
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,2
55.0,29,18
55.0,29,6
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,6
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,6
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,6
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,6
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,6
55.0,29,18
55.0,29,2
55.0,29,18
55.0,29,2
100.0,59,2
115.0,59,2
105.0,59,2
110.0,59,6
105.0,59,2
105.0,59,3
105.0,59,2
115.0,59,3
100.0,59,3
110.0,59,2
100.0,59,2
107.0,59,3
105.0,59,2
92.0,59,3
100.0,59,2
92.0,59,2
100.0,59,2
90.0,59,3
102.0,59,3
102.0,59,2
90.0,59,2
104.0,59,2
100.0,59,3
107.0,59,3
90.0,59,3
106.0,59,2
110.0,59,2
103.0,59,3
100.0,59,3
108.0,59,11
100.0,59,3
100.0,59,7
111.0,59,2
100.0,59,2
102.0,59,2
103.0,59,3
100.0,59,2
107.0,59,2
105.0,59,2
103.0,59,3
100.0,59,2
105.0,59,3
100.0,59,3
102.0,59,2
113.0,59,3
105.0,59,3
115.0,59,11
101.0,59,2
110.0,59,7
100.0,59,2
107.0,59,3
105.0,59,3
103.0,59,2
110.0,59,9
97.0,59,3
106.0,59,11
110.0,59,3
100.0,59,3
118.0,59,2
112.0,59,2
104.0,59,3
100.0,59,2
108.0,59,3
115.0,59,10
100.0,59,7
110.0,59,3
100.0,59,3
105.0,59,2
120.0,59,3
100.0,59,3
100.0,59,11
115.0,59,3
105.0,59,11
110.0,59,11
105.0,59,11
105.0,59,11
105.0,59,2
115.0,59,3
100.0,59,3
110.0,59,11
120.0,59,9
105.0,59,2
115.0,59,2
100.0,59,11
115.0,59,2
112.0,59,2
100.0,59,11
100.0,59,2
110.0,59,2
100.0,59,2
105.0,59,2
100.0,59,2
105.0,59,3
105.0,59,2
100.0,59,2
105.0,59,11
100.0,59,2
105.0,59,11
105.0,59,11
100.0,59,2
105.0,59,2
100.0,59,2
105.0,59,2
110.0,59,4
105.0,59,10
100.0,59,2
100.0,59,2
100.0,59,11
105.0,59,2
105.0,59,2
115.0,59,11
110.0,59,3
110.0,59,11
105.0,59,2
105.0,59,11
95.0,59,2
110.0,59,3
110.0,59,3
105.0,59,2
105.0,59,2
100.0,59,2
100.0,59,2
110.0,59,11
110.0,59,3
100.0,59,2
105.0,59,2
108.0,59,2
115.0,59,11
105.0,59,2
105.0,59,3
100.0,59,2
100.0,59,2
115.0,59,11
100.0,59,2
180.0,108,3
177.0,108,4
145.0,108,4
180.0,108,15
148.0,108,10
147.0,108,8
172.0,108,8
186.0,108,5
165.0,108,7
184.0,108,12
180.0,108,4
175.0,108,6
170.0,108,5
185.0,108,15
155.0,108,8
160.0,108,14
170.0,108,4
185.0,108,3
165.0,108,2
178.0,108,4
155.0,95,3
161.0,95,6
155.0,95,6
165.0,95,14
90.0,48,10
60.0,48,10
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,2
45.0,14,3
45.0,14,3
45.0,14,3
50.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,2
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
45.0,14,3
