Total_Duration_Minute,Total_Distance,Number_Of_Stops
1010.0,1426,7
290.0,1611,25
330.0,1605,26
1140.0,2478,29
1175.0,2477,29
960.0,798,19
990.0,797,19
1020.0,1448,5
1015.0,1449,5
145.0,1972,7
130.0,1979,7
1185.0,1498,7
1215.0,1501,7
550.0,577,3
540.0,577,3
390.0,490,2
380.0,490,2
235.0,2156,7
265.0,2155,7
1310.0,1516,6
1305.0,1517,6
465.0,629,2
455.0,629,2
450.0,504,8
475.0,503,8
405.0,385,11
430.0,388,11
1345.0,1714,6
1310.0,1717,6
1210.0,2636,11
1085.0,2634,11
1285.0,1651,6
1335.0,1652,6
665.0,841,4
685.0,841,4
390.0,364,7
390.0,363,7
1150.0,1353,5
1165.0,1352,5
5.0,2703,36
10.0,2697,37
520.0,623,4
525.0,622,4
1025.0,1438,8
1015.0,1439,8
1320.0,1516,25
1400.0,1517,25
1195.0,1516,9
1160.0,1517,9
430.0,1803,28
450.0,1805,28
760.0,987,6
735.0,987,6
530.0,1699,39
480.0,1700,40
1055.0,1448,8
1065.0,1449,8
815.0,2119,23
890.0,2120,23
580.0,1884,23
560.0,1885,23
1370.0,1416,12
20.0,1417,11
805.0,2165,48
855.0,2167,49
1335.0,1425,9
1375.0,1426,9
500.0,1792,18
500.0,1793,18
310.0,1577,20
305.0,1577,20
1360.0,1435,8
1335.0,1436,8
760.0,2010,32
765.0,2011,32
960.0,878,31
950.0,879,31
660.0,1917,39
625.0,1918,38
135.0,146,4
150.0,146,4
260.0,258,13
270.0,259,13
195.0,199,7
195.0,200,7
595.0,571,6
600.0,571,6
1080.0,1023,13
1000.0,1023,13
220.0,206,9
220.0,206,9
1170.0,1206,13
1215.0,1206,13
580.0,528,23
565.0,529,23
1385.0,1299,18
1415.0,1300,18
210.0,1506,19
175.0,1506,19
310.0,1807,15
340.0,1807,15
565.0,534,13
550.0,534,13
630.0,2043,21
730.0,2044,21
675.0,621,11
670.0,620,11
475.0,410,12
470.0,407,12
1245.0,1193,21
1305.0,1193,21
220.0,1525,20
205.0,1526,20
930.0,2245,29
920.0,2246,29
220.0,217,7
220.0,216,7
435.0,1729,27
405.0,1727,27
775.0,718,10
780.0,718,10
395.0,1889,15
390.0,1890,15
1310.0,1438,22
1400.0,1439,22
235.0,221,9
235.0,222,9
900.0,2348,17
880.0,2353,17
1270.0,1092,33
1260.0,1092,33
855.0,987,5
850.0,987,5
1225.0,1287,15
1390.0,1287,15
855.0,981,15
905.0,981,15
1180.0,1049,28
1125.0,1049,28
110.0,1461,29
30.0,1464,29
560.0,1821,19
545.0,1824,19
240.0,1613,35
225.0,1608,35
270.0,247,9
265.0,247,9
1095.0,1016,21
1090.0,1017,22
855.0,815,23
870.0,817,22
570.0,624,6
570.0,624,7
545.0,504,16
540.0,504,16
665.0,1927,23
555.0,1929,23
